objtype,keyspace,name,size,WRUPerRec,rowsPerWRU,rowsPerRRU,rowsSizeWarning,columns
TABLE,OBK_PE,PEDT_LAST_UPDATE_QUALIFICATION,58,1,17,68,,3
TABLE,OBK_PE,PEDT008_PRODUCTS,116,1,8,34,,7
KEYSPACE,OBK_MP,null,,,,,,
TABLE,OBK_MP,CREDITCARDACCOUNTSTRANSACTIONS,549,1,1,7,true,26
TABLE,OBK_MP,CREDITCARDACCOUNTSIDENTIFICATION_V2,383.125,1,2,10,,17
TABLE,OBK_MP,CREDITCARD_BILLS_012_CONTROL,95,1,10,42,,7
TABLE,OBK_MP,CREDITCARDACCOUNTSBILLSFINANCECHARGES,274.125,1,3,14,,16
TABLE,OBK_MP,TIPOFAC,233,1,4,17,,11
TABLE,OBK_MP,OUTBOUND_ERROR,241,1,4,16,,12
TABLE,OBK_MP,CREDITCARDACCOUNTSBILLSPAYMENTS,303.125,1,3,13,,18
TABLE,OBK_MP,CREDITCARDACCOUNTSLIMITS,320.125,1,3,12,,17
TABLE,OBK_MP,OUTBOUND_SUCESSO,187,1,5,21,,9
TABLE,OBK_MP,METRICAS,120,1,8,33,,7
TABLE,OBK_MP,CONTROLE_LOGS,208,1,4,19,,9
TABLE,OBK_MP,CONTROLE_FLAG_APP,25,1,40,160,,1
TABLE,OBK_MP,CONECO,25,1,40,160,,1
TABLE,OBK_MP,OUTBOUND,237,1,4,16,,11
TABLE,OBK_MP,CONTROLE_ROLLOUT_PAYLOAD,166,1,6,24,,8
TABLE,OBK_MP,CURRENCY_CODE,25,1,40,160,,1
TABLE,OBK_MP,CREDITCARDACCOUNTSIDENTIFICATION,358.125,1,2,11,,16
KEYSPACE,JU,null,,,,,,
TABLE,JU,JUBP1260,2845,3,,1,true,160
KEYSPACE,OBK_UG,null,,,,,,
TABLE,OBK_UG,PEDT008_AVALISTAS,150,1,6,26,,6
TABLE,OBK_UG,PEDT008_TITULARES,100,1,10,40,,4
TABLE,OBK_UG,OBK_DE_PARA,100,1,10,40,,4
KEYSPACE,YD,null,,,,,,
TABLE,YD,YDDT126,4,1,250,1000,,1
TABLE,YD,YDDT120,35,1,28,114,,4
TABLE,YD,YDDT207,86,1,11,46,,13
TABLE,YD,YDDT128,145,1,6,27,,22
MATERIALIZED VIEW,YD,YDDT128_CKEY,,,,,,
TABLE,YD,YDDT154,172,1,5,23,,23
MATERIALIZED VIEW,YD,YDDT154_CKEY,,,,,,
TABLE,YD,YDDT153,421,1,2,9,,39
MATERIALIZED VIEW,YD,YDDT153_CKEY,,,,,,
TABLE,YD,YDDT111,4,1,250,1000,,1
TABLE,YD,YDDT115,215,1,4,18,,28
