table_ref,keyspace,table,insert_count,insert_size,insert_wrus,writes_size,WRU per record,Rows per RRU,RRU per 10 rows
DY5CAS002.TBDY5330_CSLT_EVEN_DEBT_CTRT,DY5CAS002,TBDY5330_CSLT_EVEN_DEBT_CTRT,100,174615,200,174615,2,3,4
DY5CAS002.TBDY5393_OPER_DEBT_AUTA,DY5CAS002,TBDY5393_OPER_DEBT_AUTA,200,153252,200,153252,1,6,2
DY5CAS003.TBDY5378_CLIE_CONT,DY5CAS003,TBDY5378_CLIE_CONT,100,64978,100,64978,1,7,2
DY5CAS003.TBDY5379_CLIE_DOCM,DY5CAS003,TBDY5379_CLIE_DOCM,100,64963,100,64963,1,7,2
DY5CAS003.TBDY5380_CLIE_ETMU_PGTO,DY5CAS003,TBDY5380_CLIE_ETMU_PGTO,100,65465,100,65465,1,7,2
DY5CAS003.TBDY5381_MENS_DIVI_PLAT_PGTO,DY5CAS003,TBDY5381_MENS_DIVI_PLAT_PGTO,100,47000,100,47000,1,9,2
DY5CAS003.TBDY5382_MENS_ETMU_PGTO,DY5CAS003,TBDY5382_MENS_ETMU_PGTO,100,41900,100,41900,1,10,1
DY5CAS003.TBDY5383_MENS_ORIG,DY5CAS003,TBDY5383_MENS_ORIG,100,41400,100,41400,1,10,1
DY5CAS003.TBDY5384_MENS_PSST,DY5CAS003,TBDY5384_MENS_PSST,100,41400,100,41400,1,10,1
DY5CAS004.TBDY5389_INSR_PGTO,DY5CAS004,TBDY5389_INSR_PGTO,100,37257,100,37257,1,11,1
DY5CAS004.TBDY5390_TRAN_PGTO,DY5CAS004,TBDY5390_TRAN_PGTO,100,81595,100,81595,1,5,2
DY5CAS004.TBDY5391_VNCL_MEIO_PGTO_WLLT,DY5CAS004,TBDY5391_VNCL_MEIO_PGTO_WLLT,100,44608,100,44608,1,9,2
DY5CAS004.TBDY5392_WLLT,DY5CAS004,TBDY5392_WLLT,100,30700,100,30700,1,14,1
DY5CAS004.TBDY5406_CTRT_DOCM_WLLT,DY5CAS004,TBDY5406_CTRT_DOCM_WLLT,100,47759,100,47759,1,9,2
DY5CAS004.TBDY5407_SOLI_PEDI_PGTO,DY5CAS004,TBDY5407_SOLI_PEDI_PGTO,100,35200,100,35200,1,12,1
DY5CAS005.TBDY5533_COD_IDEF_PGTO_LGDO,DY5CAS005,TBDY5533_COD_IDEF_PGTO_LGDO,100,150278,200,150278,2,3,4
DY5CAS005.TBDY5534_CSLT_PGTO_DETH,DY5CAS005,TBDY5534_CSLT_PGTO_DETH,100,149909,200,149909,2,3,4
DY5CAS005.TBDY5535_CSLT_PGTO_PRDO,DY5CAS005,TBDY5535_CSLT_PGTO_PRDO,100,90312,100,90312,1,5,2
DY5CAS005.TBDY5536_CSLT_PGTO_PRDO_SITU,DY5CAS005,TBDY5536_CSLT_PGTO_PRDO_SITU,100,90814,100,90814,1,5,2
DY5CAS006.TBDY5524_CSLT_TRSF_DETH,DY5CAS006,TBDY5524_CSLT_TRSF_DETH,100,124421,200,124421,2,4,3
DY5CAS006.TBDY5525_CSLT_TRSF_DETH_LGDO,DY5CAS006,TBDY5525_CSLT_TRSF_DETH_LGDO,100,124916,200,124916,2,4,3
DY5CAS006.TBDY5526_CSLT_TRSF_PRDO,DY5CAS006,TBDY5526_CSLT_TRSF_PRDO,100,86609,100,86609,1,5,2
DY5CAS006.TBDY5527_CSLT_TRSF_PRDO_SITU,DY5CAS006,TBDY5527_CSLT_TRSF_PRDO_SITU,100,87109,100,87109,1,5,2
DY5CAS007.TBDY5528_CSLT_AGEM_DETH,DY5CAS007,TBDY5528_CSLT_AGEM_DETH,100,168455,200,168455,2,3,4
DY5CAS007.TBDY5529_CSLT_AGEM_DETH_LGDO,DY5CAS007,TBDY5529_CSLT_AGEM_DETH_LGDO,100,168961,200,168961,2,3,4
DY5CAS007.TBDY5530_CSLT_AGEM_PRDO,DY5CAS007,TBDY5530_CSLT_AGEM_PRDO,100,135001,200,135001,2,3,4
DY5CAS007.TBDY5531_CSLT_AGEM_PRDO_SITU,DY5CAS007,TBDY5531_CSLT_AGEM_PRDO_SITU,100,135505,200,135505,2,3,4
EG3CAS001.TBEG3001_CATE_BANC,EG3CAS001,TBEG3001_CATE_BANC,100,34988,100,34988,1,12,1
EG3CAS001.TBEG3002_REGR_CATE_RCRE,EG3CAS001,TBEG3002_REGR_CATE_RCRE,100,36409,100,36409,1,11,1
EG3CAS001.TBEG3003_PREF_CATE,EG3CAS001,TBEG3003_PREF_CATE,9,3528,9,3528,1,11,1
EG3CAS001.TBEG3004_REGR_BANC_COD_PESQ,EG3CAS001,TBEG3004_REGR_BANC_COD_PESQ,100,17500,100,17500,1,23,1
EG3CAS001.TBEG3005_REGR_BANC_CONT_CORE,EG3CAS001,TBEG3005_REGR_BANC_CONT_CORE,53,11501,53,11501,1,19,1
EG3CAS001.TBEG3006_PREF_CATE_LANC,EG3CAS001,TBEG3006_PREF_CATE_LANC,100,57416,100,57416,1,7,2
EG3CAS001.TBEG3007_CATE_COTX_BANC,EG3CAS001,TBEG3007_CATE_COTX_BANC,31,19917,31,19917,1,7,2
EG3CAS001.TBEG3008_REGR_CATE_COTX,EG3CAS001,TBEG3008_REGR_CATE_COTX,100,40451,100,40451,1,10,1
EG3CAS001.TBEG3009_CATE_CLIE,EG3CAS001,TBEG3009_CATE_CLIE,100,63382,100,63382,1,7,2
EG3CAS001.TBEG3010_CICL_FINN_CLIE,EG3CAS001,TBEG3010_CICL_FINN_CLIE,100,17791,100,17791,1,23,1
EG3CAS001.TBEG3012_REGR_CATE_RCRE_CLIE,EG3CAS001,TBEG3012_REGR_CATE_RCRE_CLIE,28,8792,28,8792,1,13,1
EG3CAS001.TBEG3013_PREF_CATE_LANC_CRTO,EG3CAS001,TBEG3013_PREF_CATE_LANC_CRTO,100,55990,100,55990,1,8,2
EG3CAS001.TBEG3014_ORCM_CONT_CLIE,EG3CAS001,TBEG3014_ORCM_CONT_CLIE,100,23920,100,23920,1,17,1
EG3CAS001.TBEG3015_CNFG_PARM_GEST_FINN,EG3CAS001,TBEG3015_CNFG_PARM_GEST_FINN,100,32900,100,32900,1,13,1
EM4CAS001.AGENTE,EM4CAS001,AGENTE,1,1253,2,1253,2,4,3
